HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Input.response1,Answer.summary,Approve,Reject
3YGE63DIN8YYSE1Z3R4EWCB8DUFW09,3QUMZFVHE8W8OKFBZFF52U6AZO56RK,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Sun Mar 28 11:20:43 PDT 2021,1,BatchId:4385591;OriginalHitTemplateId:928390876;,10800,86400,Tue Mar 30 11:20:43 PDT 2021,,,3R08VXYT7CWFX9ZDETUOZBGIS6WW72,A1FN47KACHQ5W,Approved,Sun Mar 28 20:07:06 PDT 2021,Sun Mar 28 20:07:10 PDT 2021,Mon Mar 29 20:07:10 PDT 2021,Sun Mar 28 21:00:13 PDT 2021,,,4,100% (20/20),100% (20/20),100% (20/20),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,Several buildings are painted with a fisherman catching a fish murals.,Several buildings are painted with a fisherman catching a fish murals.,,
3B286OTISEI8N7ZIOUISWSTDKKIJAS,3QUMZFVHE8W8OKFBZFF52U6AZO56RK,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Sun Mar 28 11:20:43 PDT 2021,1,BatchId:4385591;OriginalHitTemplateId:928390876;,10800,86400,Tue Mar 30 11:20:43 PDT 2021,,,3E7TUJ2EGCNK2MNFCVNILJI3FE79D6,AMQGOTPBRWYSF,Approved,Sun Mar 28 12:02:20 PDT 2021,Sun Mar 28 12:03:26 PDT 2021,Mon Mar 29 12:03:26 PDT 2021,Sun Mar 28 21:00:12 PDT 2021,,,66,100% (11/11),100% (11/11),100% (11/11),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,A woman is smiling looking out the door.,A woman is smiling looking out the door into the public space.,,
36GJS3V78VR9XYCLAUA2SE4GIFVGJ1,3QUMZFVHE8W8OKFBZFF52U6AZO56RK,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Sun Mar 28 11:20:43 PDT 2021,1,BatchId:4385591;OriginalHitTemplateId:928390876;,10800,86400,Tue Mar 30 11:20:43 PDT 2021,,,3018Q3ZVOIRS8FGPM2W2M3AR1ZNRAL,A1FN47KACHQ5W,Approved,Sun Mar 28 20:06:15 PDT 2021,Sun Mar 28 20:06:25 PDT 2021,Mon Mar 29 20:06:25 PDT 2021,Sun Mar 28 21:00:11 PDT 2021,,,10,100% (20/20),100% (20/20),100% (20/20),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-anna-shvets-4588065.jpg,A white bunny wearing yellow-lens sunglasses.,A white bunny wearing yellow-lens sunglasses.,,
335VBRURDJ1M783LINT13H519U4E9N,3QUMZFVHE8W8OKFBZFF52U6AZO56RK,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Sun Mar 28 11:20:43 PDT 2021,1,BatchId:4385591;OriginalHitTemplateId:928390876;,10800,86400,Tue Mar 30 11:20:43 PDT 2021,,,3KKG4CDWKIZ72Q4MJKMPIFOX21E94T,AMQGOTPBRWYSF,Approved,Sun Mar 28 12:01:52 PDT 2021,Sun Mar 28 12:02:20 PDT 2021,Mon Mar 29 12:02:20 PDT 2021,Sun Mar 28 21:00:11 PDT 2021,,,28,100% (11/11),100% (11/11),100% (11/11),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-badr-khechchab-4233098.jpg,"A male wearing a white cap, skateboarding on the side wall.","A male wearing a white cap, skateboarding on the side wall in the skate park.",,
3BJKPTD2QCDU0RH42ZIITO5WIQXTRF,3QUMZFVHE8W8OKFBZFF52U6AZO56RK,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Sun Mar 28 11:20:43 PDT 2021,1,BatchId:4385591;OriginalHitTemplateId:928390876;,10800,86400,Tue Mar 30 11:20:43 PDT 2021,,,33L7PJKHCGZR5602TTHJQR5EYU88TU,ADQHGQF65JJ08,Approved,Sun Mar 28 11:24:14 PDT 2021,Sun Mar 28 11:27:11 PDT 2021,Mon Mar 29 11:27:11 PDT 2021,Sun Mar 28 21:00:12 PDT 2021,,,177,100% (1/1),100% (1/1),100% (1/1),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-bia-sousa-4493795.jpg,There is a girl in a red shirt wearing red tinted glasses.  She is standing in front of a red building and is surrounded by red floating Uno cards.,A young girl is giving stylish  posing for picture throwing UNO cards in air. She is wearing red shirt black bottom and red tinted glasses.,,
3BFF0DJK8XD616HHHOINJYAS4SGTS3,3QUMZFVHE8W8OKFBZFF52U6AZO56RK,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Sun Mar 28 11:20:43 PDT 2021,1,BatchId:4385591;OriginalHitTemplateId:928390876;,10800,86400,Tue Mar 30 11:20:43 PDT 2021,,,3P4RDNWND57QG9GAQLF61ACJ3OQJIC,AMQGOTPBRWYSF,Approved,Sun Mar 28 11:59:21 PDT 2021,Sun Mar 28 11:59:58 PDT 2021,Mon Mar 29 11:59:58 PDT 2021,Sun Mar 28 21:00:12 PDT 2021,,,37,100% (11/11),100% (11/11),100% (11/11),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-clive-kim-4220967.jpg,A volcano spewing lava at night.,A volcano spewing lava into the air at night.,,
37AQKJ12TXP7G6UW6ONDT36E6BUTTS,3QUMZFVHE8W8OKFBZFF52U6AZO56RK,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Sun Mar 28 11:20:44 PDT 2021,1,BatchId:4385591;OriginalHitTemplateId:928390876;,10800,86400,Tue Mar 30 11:20:44 PDT 2021,,,336YQZE83VF45TRGMY94ST0V3YO5M6,A1FN47KACHQ5W,Approved,Sun Mar 28 20:06:28 PDT 2021,Sun Mar 28 20:06:43 PDT 2021,Mon Mar 29 20:06:43 PDT 2021,Sun Mar 28 21:00:11 PDT 2021,,,15,100% (20/20),100% (20/20),100% (20/20),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-cottonbro-4769486.jpg,A female sitting in a chair tilting her head back has a book covering her face.,A female sitting in a chair tilting her head back has a book covering her face.relaxinb,,
32LAQ1JNT9QMGJ9L6TDNYZSGPP1TUJ,3QUMZFVHE8W8OKFBZFF52U6AZO56RK,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Sun Mar 28 11:20:44 PDT 2021,1,BatchId:4385591;OriginalHitTemplateId:928390876;,10800,86400,Tue Mar 30 11:20:44 PDT 2021,,,3AMW0RGHOD3EGLUZIEXI3EUCYMNNPT,A3F7TX7LITQ4UP,Approved,Sun Mar 28 11:34:24 PDT 2021,Sun Mar 28 11:35:50 PDT 2021,Mon Mar 29 11:35:50 PDT 2021,Sun Mar 28 21:00:11 PDT 2021,,,86,100% (2/2),100% (2/2),100% (2/2),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-edu-carvalho-2050975.jpg,A woman is holding a basket of flowers and a hat and laughing.,An elderly woman is standing in a park laughing while holding a basket of red flowers and a brown sun hat..,,
3URJ6VVYUPO7MTAYV606RLOZR4WO45,3QUMZFVHE8W8OKFBZFF52U6AZO56RK,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Sun Mar 28 11:20:44 PDT 2021,1,BatchId:4385591;OriginalHitTemplateId:928390876;,10800,86400,Tue Mar 30 11:20:44 PDT 2021,,,3Z7VU45IPYI5GIPG00XMX5JN5KOZ1H,A3F7TX7LITQ4UP,Approved,Sun Mar 28 11:29:52 PDT 2021,Sun Mar 28 11:31:35 PDT 2021,Mon Mar 29 11:31:35 PDT 2021,Sun Mar 28 21:00:13 PDT 2021,,,103,100% (2/2),100% (2/2),100% (2/2),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-eric-christian-capilador-6008360.jpg,A lady wearing sunglasses is looking down at the camera with her hand pointed towards the camera.,A blonde haired lady wearing a  white long sleeved shirt and  sunglasses is looking down at the camera with her hand pointed towards the camera.,,
3MJ28H2Y1E9PICEY9BJGWDUDR0RO5A,3QUMZFVHE8W8OKFBZFF52U6AZO56RK,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Sun Mar 28 11:20:44 PDT 2021,1,BatchId:4385591;OriginalHitTemplateId:928390876;,10800,86400,Tue Mar 30 11:20:44 PDT 2021,,,3HMVI3QICJT5BSFB4EV3JYALZQP1YX,AMQGOTPBRWYSF,Approved,Sun Mar 28 12:00:15 PDT 2021,Sun Mar 28 12:00:43 PDT 2021,Mon Mar 29 12:00:43 PDT 2021,Sun Mar 28 21:00:13 PDT 2021,,,28,100% (11/11),100% (11/11),100% (11/11),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-eugene-dorosh-739407.jpg,The eiffel tower is pictured with the city in the background.,The tall eiffel tower is pictured with the city in the background.,,
