image_url,desc1,desc2
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,A mater-piece of artwork painting on buildings.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,A woman is welcoming cutomer.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-anna-shvets-4588065.jpg,A white rabbit wearing an yellow glasses.,The rabbit was wearing some cool glasses in the photo.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-badr-khechchab-4233098.jpg,The man was riding his skateboard all over the park with the sun shining down.,A man with plaid shorts on is skateboarding on a half pipe.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-bia-sousa-4493795.jpg,The woman is wearing a red shirt and glasses and throwing red cards.,The woman in white is throwing the cards.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-clive-kim-4220967.jpg,A volcano is erupting bright red lava out the top.,The volcano had begun to spew lava on the ground.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-cottonbro-4769486.jpg,The woman is sitting in the chair with a book on her face.,The college student was worn out from all the studying.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-edu-carvalho-2050975.jpg,An old woman in overhauls is holding a basket of pretty flowers.,The older wise woman was looking up at the beautiful sun as she was enjoying her day.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-eric-christian-capilador-6008360.jpg,The woman in the white shirt is standing outside pointing toward something.,The woman has two toned hair and black sunglasses on.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-eugene-dorosh-739407.jpg,The Eiffel Tower in the morning sun.,"The Eiffel Tower in Paris, France during the sun set."
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-evgeny-tchebotarev-4101555.jpg,A very breathtaking view of a rainbow on the top of mountain.,There is a beautiful rainbow over the mountain top.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-fauxels-3182749.jpg,A girl is giving a presentation to a group of her peers.,The group of students felt like they were prepared for the upcoming exam.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-godisable-jacob-1394882.jpg,The woman in the dress is standing outside.,An attractive lady in a polka dot dress is holding a black handbag.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-guillaume-meurice-2815028.jpg,There are super tall sky scrapers that look near the clouds.,looking to a skyscraper from the street
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-julia-khalimova-3649190.jpg,The boat was floating on the water as is coasted down the canal.,A gondola being paddled under a walking bridge.
