HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Input.desc1,Input.desc2,Answer.first.first,Answer.second.second,Approve,Reject
3YOAVL4CA0IJLXO5XFBN7JV3BHY4Z4,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 17:09:40 PDT 2021,5,BatchId:4403423;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 17:09:40 PDT 2021,,,30IQTZXKAK7G4Y4J3Z51MFK2UII0XY,AO1HA5KKZ51B7,Approved,Sat Apr 10 17:17:47 PDT 2021,Sat Apr 10 17:17:56 PDT 2021,Sat Apr 10 18:17:56 PDT 2021,Sat Apr 10 17:27:09 PDT 2021,,,9,100% (4/4),100% (4/4),100% (4/4),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,A mater-piece of artwork painting on buildings.,TRUE,FALSE,1,
3YOAVL4CA0IJLXO5XFBN7JV3BHY4Z4,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 17:09:40 PDT 2021,5,BatchId:4403423;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 17:09:40 PDT 2021,,,3BEFOD78W6UM9ANG8TQUN1UH4QDM4F,AVOF14300525D,Approved,Sat Apr 10 17:18:52 PDT 2021,Sat Apr 10 17:19:12 PDT 2021,Sat Apr 10 18:19:12 PDT 2021,Sat Apr 10 17:27:09 PDT 2021,,,20,100% (1/1),100% (1/1),100% (1/1),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,A mater-piece of artwork painting on buildings.,TRUE,FALSE,,
3YOAVL4CA0IJLXO5XFBN7JV3BHY4Z4,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 17:09:40 PDT 2021,5,BatchId:4403423;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 17:09:40 PDT 2021,,,3R0T90IZ1SDPC449Q5YHTUM80HICGA,A3TYCJO2DG3RMH,Approved,Sat Apr 10 17:11:40 PDT 2021,Sat Apr 10 17:11:54 PDT 2021,Sat Apr 10 18:11:54 PDT 2021,Sat Apr 10 17:27:09 PDT 2021,,,14,100% (4/4),100% (4/4),100% (4/4),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,A mater-piece of artwork painting on buildings.,TRUE,FALSE,,
3YOAVL4CA0IJLXO5XFBN7JV3BHY4Z4,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 17:09:40 PDT 2021,5,BatchId:4403423;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 17:09:40 PDT 2021,,,3R9WASFE2ZHW6XJO7ZC7M7NH8K4FZD,A280UKMMBLRURU,Approved,Sat Apr 10 17:14:23 PDT 2021,Sat Apr 10 17:15:46 PDT 2021,Sat Apr 10 18:15:46 PDT 2021,Sat Apr 10 17:27:09 PDT 2021,,,83,100% (5/5),100% (5/5),100% (5/5),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,A mater-piece of artwork painting on buildings.,TRUE,FALSE,,
3YOAVL4CA0IJLXO5XFBN7JV3BHY4Z4,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 17:09:40 PDT 2021,5,BatchId:4403423;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 17:09:40 PDT 2021,,,3S06PH7KSR52DHKK8I8P6D0KJSC1D0,A3CJFLRLYSS2NL,Approved,Sat Apr 10 17:18:55 PDT 2021,Sat Apr 10 17:19:01 PDT 2021,Sat Apr 10 18:19:01 PDT 2021,Sat Apr 10 17:27:09 PDT 2021,,,6,100% (2/2),100% (2/2),100% (2/2),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,A mater-piece of artwork painting on buildings.,TRUE,FALSE,,
37VHPF5VYC47W50XH4HSDXAN4L8C8K,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 17:09:40 PDT 2021,5,BatchId:4403423;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 17:09:40 PDT 2021,,,31EUONYN2V493QR7556UOVJZCAPOV8,A3CJFLRLYSS2NL,Approved,Sat Apr 10 17:20:35 PDT 2021,Sat Apr 10 17:20:40 PDT 2021,Sat Apr 10 18:20:40 PDT 2021,Sat Apr 10 17:27:09 PDT 2021,,,5,100% (2/2),100% (2/2),100% (2/2),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,A woman is welcoming cutomer.,TRUE,FALSE,1,
37VHPF5VYC47W50XH4HSDXAN4L8C8K,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 17:09:40 PDT 2021,5,BatchId:4403423;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 17:09:40 PDT 2021,,,3DBQWDE4Y6ZANBCGYZO458PV9CIN5L,A3TYCJO2DG3RMH,Approved,Sat Apr 10 17:14:40 PDT 2021,Sat Apr 10 17:14:55 PDT 2021,Sat Apr 10 18:14:55 PDT 2021,Sat Apr 10 17:27:10 PDT 2021,,,15,100% (4/4),100% (4/4),100% (4/4),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,A woman is welcoming cutomer.,TRUE,FALSE,,
37VHPF5VYC47W50XH4HSDXAN4L8C8K,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 17:09:40 PDT 2021,5,BatchId:4403423;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 17:09:40 PDT 2021,,,3GA6AFUKOOPFZ031HI5YLRUF94J3H3,AO1HA5KKZ51B7,Approved,Sat Apr 10 17:17:56 PDT 2021,Sat Apr 10 17:18:25 PDT 2021,Sat Apr 10 18:18:25 PDT 2021,Sat Apr 10 17:27:10 PDT 2021,,,29,100% (4/4),100% (4/4),100% (4/4),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,A woman is welcoming cutomer.,TRUE,FALSE,,
37VHPF5VYC47W50XH4HSDXAN4L8C8K,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 17:09:40 PDT 2021,5,BatchId:4403423;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 17:09:40 PDT 2021,,,3I0BTBYZAXM543UT8VR35TRBWOC0Y4,A8DSTQB4187FZ,Approved,Sat Apr 10 17:17:48 PDT 2021,Sat Apr 10 17:17:57 PDT 2021,Sat Apr 10 18:17:57 PDT 2021,Sat Apr 10 17:27:10 PDT 2021,,,9,100% (4/4),100% (4/4),100% (4/4),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,A woman is welcoming cutomer.,TRUE,FALSE,,
37VHPF5VYC47W50XH4HSDXAN4L8C8K,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 17:09:40 PDT 2021,5,BatchId:4403423;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 17:09:40 PDT 2021,,,3ZV9H2YQQD8XWQYQCHRYMU42OSW3W3,A280UKMMBLRURU,Approved,Sat Apr 10 17:19:22 PDT 2021,Sat Apr 10 17:19:45 PDT 2021,Sat Apr 10 18:19:45 PDT 2021,Sat Apr 10 17:27:10 PDT 2021,,,23,100% (5/5),100% (5/5),100% (5/5),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,A woman is welcoming cutomer.,TRUE,FALSE,,
