image_url,desc1,desc2
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,Several buildings are painted with a fisherman catching a fish murals.,Several buildings have murals painted on them. The mural portray a fisherman catching a large fish.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,A woman is smiling looking out the door.,A woman in a green dress and black cardigan is smiling while leaning out of the doorway of a door that she is holding open.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-anna-shvets-4588065.jpg,A white bunny wearing yellow-lens sunglasses.,A white bunny with grey spots wearing oversized yellow-lens sunglasses with a yellow background.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-badr-khechchab-4233098.jpg,"A male wearing a white cap, skateboarding on the side wall.","A male wearing a white cap, skateboarding on the side wall and does it extremely well."
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-bia-sousa-4493795.jpg,There is a girl in a red shirt wearing red tinted glasses.  She is standing in front of a red building and is surrounded by red floating Uno cards.,There is a girl in a red shirt wearing red tinted glasses.  She is standing in front of a red building and is surrounded by red floating Uno cards.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-clive-kim-4220967.jpg,A volcano spewing lava at night.,A volcano spewing lava at night.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-cottonbro-4769486.jpg,A female sitting in a chair tilting her head back has a book covering her face.,A woman sitting in a chair in front of her desk with a book covering her face. The desk is covered in notebooks and coffee mugs.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-edu-carvalho-2050975.jpg,A woman is holding a basket of flowers and a hat and laughing.,An elderly woman with white hair and overalls is holding a wicker basket of red flowers and a straw hat and laughing.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-eric-christian-capilador-6008360.jpg,A lady wearing sunglasses is looking down at the camera with her hand pointed towards the camera.,"An asian girl wearing sunglassess, holding a glass of red wine is looking down at the camera with her hand pointed towards the camera."
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-eugene-dorosh-739407.jpg,The eiffel tower is pictured with the city in the background.,The Eiffel tower is pictured with the sun setting in the background and shining on the city.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-evgeny-tchebotarev-4101555.jpg,A rainbow over mountains at dusk.,A rainbow over mountains at dusk. Look how beautiful it is.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-fauxels-3182749.jpg,A girl is standing at a table reading off of a card at a meeting.,A girl is standing at a table reading off of a card at a meeting and read it stupendously well and makes no mistakes.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-godisable-jacob-1394882.jpg,A woman is laughing with her hand over her mouth.,A pretty young black woman holding her purse is laughing with her hand over her mouth.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-guillaume-meurice-2815028.jpg,It is a view looking up threw sky scrapers.,It is a view looking up threw sky scrapers. The sky scrapers are grey (metal and concrete) with blue tinted windows.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-julia-khalimova-3649190.jpg,There is gondolier paddling his gondola filled with passengers under an arched pedestrian bridge.  People are crossing the bridge enjoying the day.,There is a gondolier paddling his gondola filled with passengers throug an arched pedestrian bridge.  People are crossing the bridge enjoying the day.
