Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-1stparallel,UPDATE-1stparallel,CURRENT-1stiteration,UPDATE-1stiteration,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
A12NNJKHIZP1TY,https://requester.mturk.com/workers/A12NNJKHIZP1TY,9,9,100.00%,9,9,100.00%,9,9,100.00%,1,2,1,,Never Blocked,,
A12TSLY8GXWHB4,https://requester.mturk.com/workers/A12TSLY8GXWHB4,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,Never Blocked,,
A1FN47KACHQ5W,https://requester.mturk.com/workers/A1FN47KACHQ5W,20,20,100.00%,20,20,100.00%,20,20,100.00%,1,2,1,,Never Blocked,,
A1IKH0O3IO4RFC,https://requester.mturk.com/workers/A1IKH0O3IO4RFC,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A1K0TANCR2KNO7,https://requester.mturk.com/workers/A1K0TANCR2KNO7,9,9,100.00%,9,9,100.00%,9,9,100.00%,,,,,Never Blocked,,
A1MPNYNTLMLJCR,https://requester.mturk.com/workers/A1MPNYNTLMLJCR,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A1RP234EJ8NH7K,https://requester.mturk.com/workers/A1RP234EJ8NH7K,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,Never Blocked,,
A1V70LAP4UDYV6,https://requester.mturk.com/workers/A1V70LAP4UDYV6,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,1,,Never Blocked,,
A1XCQA727LJVL2,https://requester.mturk.com/workers/A1XCQA727LJVL2,5,5,100.00%,5,5,100.00%,5,5,100.00%,1,2,1,,Never Blocked,,
A23KAJRDVCVGOE,https://requester.mturk.com/workers/A23KAJRDVCVGOE,13,13,100.00%,13,13,100.00%,13,13,100.00%,,,,,Never Blocked,,
