HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.summary,Approve,Reject
3XD2A6FGFNVNHR83JID6SY9GASLS9O,3M7B7ZP99O8OH4AC1GOUZXWF8F2RI1,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Tue Apr 06 11:42:55 PDT 2021,5,BatchId:4397900;OriginalHitTemplateId:928390876;,10800,7200,Thu Apr 08 03:02:29 PDT 2021,,,3GDTJDAPVUCNSBAIKWG74DAM6TRM82,AESEZX8S7Z3IC,Approved,Tue Apr 06 11:44:55 PDT 2021,Tue Apr 06 11:45:18 PDT 2021,Tue Apr 06 13:45:18 PDT 2021,Tue Apr 06 13:46:03 PDT 2021,,,23,100% (15/15),100% (15/15),100% (15/15),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,x,
3XD2A6FGFNVNHR83JID6SY9GASLS9O,3M7B7ZP99O8OH4AC1GOUZXWF8F2RI1,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Tue Apr 06 11:42:55 PDT 2021,5,BatchId:4397900;OriginalHitTemplateId:928390876;,10800,7200,Thu Apr 08 03:02:29 PDT 2021,,,3IXQG4FA2TZRNPPVYZWCQTU3E0L9B5,A2L7S6RZOZ6NM9,Approved,Tue Apr 06 13:53:03 PDT 2021,Tue Apr 06 13:53:15 PDT 2021,Tue Apr 06 15:53:15 PDT 2021,Tue Apr 06 15:54:09 PDT 2021,,,12,100% (12/12),100% (12/12),100% (12/12),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The white buildings have paintings on both of them.,x,
3XD2A6FGFNVNHR83JID6SY9GASLS9O,3M7B7ZP99O8OH4AC1GOUZXWF8F2RI1,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Tue Apr 06 11:42:55 PDT 2021,5,BatchId:4397900;OriginalHitTemplateId:928390876;,10800,7200,Thu Apr 08 03:02:29 PDT 2021,,,3VNL7UK1XFK0KLAP17NP0JM0N65FTK,A3PE6Y84HH8AKG,Approved,Tue Apr 06 17:28:05 PDT 2021,Tue Apr 06 17:32:25 PDT 2021,Tue Apr 06 19:32:25 PDT 2021,Tue Apr 06 18:35:11 PDT 2021,,,260,100% (13/13),100% (13/13),100% (13/13),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,A mater-piece of artwork painting on buildings.,x,
3DQYSJDTYLCC84LJL3ZFJKRJG43EXS,3M7B7ZP99O8OH4AC1GOUZXWF8F2RI1,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Tue Apr 06 11:42:55 PDT 2021,5,BatchId:4397900;OriginalHitTemplateId:928390876;,10800,7200,Thu Apr 08 03:02:29 PDT 2021,,,340UGXU9DY24GVB41RI3N1BOUDFUVR,A1IYY75YZQW908,Approved,Tue Apr 06 14:29:51 PDT 2021,Tue Apr 06 14:30:16 PDT 2021,Tue Apr 06 16:30:16 PDT 2021,Tue Apr 06 16:31:09 PDT 2021,,,25,100% (13/13),100% (13/13),100% (13/13),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,x,
3DQYSJDTYLCC84LJL3ZFJKRJG43EXS,3M7B7ZP99O8OH4AC1GOUZXWF8F2RI1,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Tue Apr 06 11:42:55 PDT 2021,5,BatchId:4397900;OriginalHitTemplateId:928390876;,10800,7200,Thu Apr 08 03:02:29 PDT 2021,,,3TXD01ZLD4I5MISPHVHGEBBBHTEU4B,A2L7S6RZOZ6NM9,Approved,Tue Apr 06 13:54:25 PDT 2021,Tue Apr 06 13:54:36 PDT 2021,Tue Apr 06 15:54:36 PDT 2021,Tue Apr 06 15:55:09 PDT 2021,,,11,100% (12/12),100% (12/12),100% (12/12),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is standing inside at a door.,x,
3DQYSJDTYLCC84LJL3ZFJKRJG43EXS,3M7B7ZP99O8OH4AC1GOUZXWF8F2RI1,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Tue Apr 06 11:42:55 PDT 2021,5,BatchId:4397900;OriginalHitTemplateId:928390876;,10800,7200,Thu Apr 08 03:02:29 PDT 2021,,,3UJ1CZ6IZHQ73O4L6V5Q42Z1WTMS5Y,A3PE6Y84HH8AKG,Approved,Tue Apr 06 18:59:20 PDT 2021,Tue Apr 06 19:02:00 PDT 2021,Tue Apr 06 21:02:00 PDT 2021,Tue Apr 06 21:02:16 PDT 2021,,,160,100% (13/13),100% (13/13),100% (13/13),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,A woman is welcoming cutomer.,x,
3DQYSJDTYLCC84LJL3ZFJKRJG43EXS,3M7B7ZP99O8OH4AC1GOUZXWF8F2RI1,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Tue Apr 06 11:42:55 PDT 2021,5,BatchId:4397900;OriginalHitTemplateId:928390876;,10800,7200,Thu Apr 08 03:02:29 PDT 2021,,,3Z9WI9EOZZPLVYB82OXX2DBHK7NKHB,AESEZX8S7Z3IC,Approved,Tue Apr 06 11:46:53 PDT 2021,Tue Apr 06 11:47:17 PDT 2021,Tue Apr 06 13:47:17 PDT 2021,Tue Apr 06 13:48:03 PDT 2021,,,24,100% (15/15),100% (15/15),100% (15/15),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,Grace waved good bye as her friends jumped into the car.,,
33IXYHIZB5JB7OIMXEEMTUXN3V2E2H,3M7B7ZP99O8OH4AC1GOUZXWF8F2RI1,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Tue Apr 06 11:42:55 PDT 2021,5,BatchId:4397900;OriginalHitTemplateId:928390876;,10800,7200,Thu Apr 08 03:02:29 PDT 2021,,,37M28K1J0QEBARXCEXNTKCO0SNCJAF,A2L7S6RZOZ6NM9,Approved,Tue Apr 06 13:52:13 PDT 2021,Tue Apr 06 13:52:30 PDT 2021,Tue Apr 06 15:52:30 PDT 2021,Tue Apr 06 15:53:09 PDT 2021,,,17,100% (12/12),100% (12/12),100% (12/12),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-anna-shvets-4588065.jpg,The small white bunny is wearing glasses.,,
33IXYHIZB5JB7OIMXEEMTUXN3V2E2H,3M7B7ZP99O8OH4AC1GOUZXWF8F2RI1,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Tue Apr 06 11:42:55 PDT 2021,5,BatchId:4397900;OriginalHitTemplateId:928390876;,10800,7200,Thu Apr 08 03:02:29 PDT 2021,,,3EKVH9QMEY59222GRM83BWAPBGED2H,A3PE6Y84HH8AKG,Approved,Tue Apr 06 17:46:37 PDT 2021,Tue Apr 06 17:48:03 PDT 2021,Tue Apr 06 19:48:03 PDT 2021,Tue Apr 06 18:35:09 PDT 2021,,,86,100% (13/13),100% (13/13),100% (13/13),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-anna-shvets-4588065.jpg,A white rabbit wearing an yellow glasses.,x,
33IXYHIZB5JB7OIMXEEMTUXN3V2E2H,3M7B7ZP99O8OH4AC1GOUZXWF8F2RI1,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Tue Apr 06 11:42:55 PDT 2021,5,BatchId:4397900;OriginalHitTemplateId:928390876;,10800,7200,Thu Apr 08 03:02:29 PDT 2021,,,3HMIGG0U4L7NMSZW3Z4IY8XTF3PY8O,A1IYY75YZQW908,Approved,Tue Apr 06 14:31:20 PDT 2021,Tue Apr 06 14:31:40 PDT 2021,Tue Apr 06 16:31:40 PDT 2021,Tue Apr 06 16:32:09 PDT 2021,,,20,100% (13/13),100% (13/13),100% (13/13),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-anna-shvets-4588065.jpg,The white bunny is wearing yellow tinted shades.,x,
