HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Input.desc1,Input.desc2,Answer.first.first,Answer.second.second,Approve,Reject
35NNO802AVXJCF91FG2X6XYD6LRING,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 18:37:11 PDT 2021,5,BatchId:4403472;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 18:37:11 PDT 2021,,,3483FV8BEEKAHTN1HZ0P5Q0XUCA621,A25EVN04BC2KJ6,Approved,Sat Apr 10 18:40:40 PDT 2021,Sat Apr 10 18:45:28 PDT 2021,Sat Apr 10 19:45:28 PDT 2021,Sat Apr 10 18:58:21 PDT 2021,,,288,100% (31/31),100% (31/31),100% (31/31),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,Apartment buildings in a coastal setting feature one building with a giant fish being caught and a building to the right depicts a fisherman.,TRUE,FALSE,1,
35NNO802AVXJCF91FG2X6XYD6LRING,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 18:37:11 PDT 2021,5,BatchId:4403472;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 18:37:11 PDT 2021,,,358UUM7WRZ4APDIRFZKICC811FAR70,A3KPQ7L5FS8SD6,Approved,Sat Apr 10 18:45:01 PDT 2021,Sat Apr 10 18:45:11 PDT 2021,Sat Apr 10 19:45:11 PDT 2021,Sat Apr 10 18:58:21 PDT 2021,,,10,100% (4/4),100% (4/4),100% (4/4),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,Apartment buildings in a coastal setting feature one building with a giant fish being caught and a building to the right depicts a fisherman.,FALSE,TRUE,,
35NNO802AVXJCF91FG2X6XYD6LRING,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 18:37:11 PDT 2021,5,BatchId:4403472;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 18:37:11 PDT 2021,,,3F0BG9B9MPOJMEUDTUCCK81Y42OY78,ABNR8ID5Q3CYA,Approved,Sat Apr 10 18:38:12 PDT 2021,Sat Apr 10 18:38:48 PDT 2021,Sat Apr 10 19:38:48 PDT 2021,Sat Apr 10 18:58:21 PDT 2021,,,36,100% (5/5),100% (5/5),100% (5/5),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,Apartment buildings in a coastal setting feature one building with a giant fish being caught and a building to the right depicts a fisherman.,TRUE,FALSE,,
35NNO802AVXJCF91FG2X6XYD6LRING,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 18:37:11 PDT 2021,5,BatchId:4403472;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 18:37:11 PDT 2021,,,3K9FOBBF2HKOP0F1QM4BMXLSV2QNLH,A3ENQKD0V9VHBF,Approved,Sat Apr 10 18:40:39 PDT 2021,Sat Apr 10 18:41:09 PDT 2021,Sat Apr 10 19:41:09 PDT 2021,Sat Apr 10 18:58:21 PDT 2021,,,30,100% (13/13),100% (13/13),100% (13/13),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,Apartment buildings in a coastal setting feature one building with a giant fish being caught and a building to the right depicts a fisherman.,FALSE,TRUE,,
35NNO802AVXJCF91FG2X6XYD6LRING,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 18:37:11 PDT 2021,5,BatchId:4403472;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 18:37:11 PDT 2021,,,3STRJBFXOWSB07232IEMGWE5VK7KTC,A280UKMMBLRURU,Approved,Sat Apr 10 18:39:16 PDT 2021,Sat Apr 10 18:40:07 PDT 2021,Sat Apr 10 19:40:07 PDT 2021,Sat Apr 10 18:58:22 PDT 2021,,,51,100% (29/29),100% (29/29),100% (29/29),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,Apartment buildings in a coastal setting feature one building with a giant fish being caught and a building to the right depicts a fisherman.,FALSE,TRUE,,
3VIVIU06FKDDUXO13FNXTI9D1VHIMG,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 18:37:11 PDT 2021,5,BatchId:4403472;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 18:37:11 PDT 2021,,,308XBLVESI5XRPLHSGWYHEUXK51BR6,A3ENQKD0V9VHBF,Approved,Sat Apr 10 18:44:04 PDT 2021,Sat Apr 10 18:44:43 PDT 2021,Sat Apr 10 19:44:43 PDT 2021,Sat Apr 10 18:58:30 PDT 2021,,,39,100% (13/13),100% (13/13),100% (13/13),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,Grace waved good bye as her friends jumped into the car.,TRUE,FALSE,1,
3VIVIU06FKDDUXO13FNXTI9D1VHIMG,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 18:37:11 PDT 2021,5,BatchId:4403472;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 18:37:11 PDT 2021,,,33JKGHPFYCV8VIXMQY5QMA0HV7GMNI,A3TDPXTB6Y6H1I,Approved,Sat Apr 10 18:44:57 PDT 2021,Sat Apr 10 18:45:13 PDT 2021,Sat Apr 10 19:45:13 PDT 2021,Sat Apr 10 18:58:30 PDT 2021,,,16,100% (5/5),100% (5/5),100% (5/5),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,Grace waved good bye as her friends jumped into the car.,TRUE,FALSE,,
3VIVIU06FKDDUXO13FNXTI9D1VHIMG,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 18:37:11 PDT 2021,5,BatchId:4403472;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 18:37:11 PDT 2021,,,3P4RDNWND57QG9GAQLF61ACJ5ERIJU,A280UKMMBLRURU,Approved,Sat Apr 10 18:40:59 PDT 2021,Sat Apr 10 18:41:24 PDT 2021,Sat Apr 10 19:41:24 PDT 2021,Sat Apr 10 18:58:30 PDT 2021,,,25,100% (29/29),100% (29/29),100% (29/29),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,Grace waved good bye as her friends jumped into the car.,TRUE,FALSE,,
3VIVIU06FKDDUXO13FNXTI9D1VHIMG,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 18:37:11 PDT 2021,5,BatchId:4403472;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 18:37:11 PDT 2021,,,3QY5DC2MXRLFKYPE1CDZ5F8262XFUW,A25EVN04BC2KJ6,Approved,Sat Apr 10 18:40:27 PDT 2021,Sat Apr 10 18:44:27 PDT 2021,Sat Apr 10 19:44:27 PDT 2021,Sat Apr 10 18:58:31 PDT 2021,,,240,100% (31/31),100% (31/31),100% (31/31),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,Grace waved good bye as her friends jumped into the car.,TRUE,FALSE,,
3VIVIU06FKDDUXO13FNXTI9D1VHIMG,3D4BPCICWK3NL5FG1EHDN5R4QPBV8R,Select the better descriptor,"Given 2 descriptions of a photo, select the most accurate one.","survey, photo, photography, easy, image, images,,pick,descriptions,simple,select,fast,description,descriptor, options, quick, fast, compare, picture",$0.03,Sat Apr 10 18:37:11 PDT 2021,5,BatchId:4403472;OriginalHitTemplateId:928390912;,1800,3600,Sun Apr 11 18:37:11 PDT 2021,,,3YMTUJH0DSHQM5D0HQR69FP9YYHT4V,A1188PF2HXG2G6,Approved,Sat Apr 10 18:44:12 PDT 2021,Sat Apr 10 18:44:25 PDT 2021,Sat Apr 10 19:44:25 PDT 2021,Sat Apr 10 18:58:31 PDT 2021,,,13,100% (12/12),100% (12/12),100% (12/12),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,Grace waved good bye as her friends jumped into the car.,TRUE,FALSE,,
