image_url,desc1,desc2
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,Several buildings are painted with a fisherman catching a fish murals.,Picture of a fisherman catching a giant fish with buildings in the background.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,A woman is smiling looking out the door.,A girl is holding open a door smiling.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-anna-shvets-4588065.jpg,A white bunny wearing yellow-lens sunglasses.,A white bunny wearing yellow-lens sunglasses.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-badr-khechchab-4233098.jpg,"A male wearing a white cap, skateboarding on the side wall in the skate park.","A male wearing a white cap, skateboarding on the side wall in the skate park."
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-bia-sousa-4493795.jpg,There is a girl in a red shirt wearing red tinted glasses.  She is standing in front of a red building and is surrounded by red floating Uno cards.,A girl is throwing red uno cards towards the camera.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-clive-kim-4220967.jpg,A volcano spewing lava into the air at night.,A volcano is igniting against the dark sky.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-cottonbro-4769486.jpg,A female sitting in a chair tilting her head back has a book covering her face.,A female sitting in a chair tilting her head back has a book covering her face.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-edu-carvalho-2050975.jpg,An elderly woman is standing in a park laughing while holding a basket of red flowers and a brown sun hat..,A old women is holding a basket of red flowers while holding a white hat.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-eric-christian-capilador-6008360.jpg,A lady wearing sunglasses is looking down at the camera with her hand pointed towards the camera.,A woman is holding a glass of wine and putting her hands close to the camera.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-eugene-dorosh-739407.jpg,The eiffel tower is pictured with the city in the background.,The eiffel tower standing tall with the city in the background.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-evgeny-tchebotarev-4101555.jpg,A rainbow over mountains at dusk.,A rainbow over mountains at dusk.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-fauxels-3182749.jpg,A girl is standing at a table reading off of a card at the meeting as people watch and listen.,A girl reading while holding a tablet as people are sitting and looking at her.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-godisable-jacob-1394882.jpg,A woman is laughing with her hand over her mouth.,A woman is laughing with her hand over her mouth.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-guillaume-meurice-2815028.jpg,It is a view looking up threw sky scrapers.,It is a view of some big buildings towards the sky.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-julia-khalimova-3649190.jpg,There is gondolier paddling his gondola filled with passengers under an arched pedestrian bridge.  People are crossing the bridge enjoying the day.,There is gondolier paddling his gondola filled with passengers under an arched pedestrian bridge.  People are crossing the bridge enjoying the day.
