image_url,desc1,desc2
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,Apartment buildings in a coastal setting feature one building with a giant fish being caught and a building to the right depicts a fisherman.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,Grace waved good bye as her friends jumped into the car.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-anna-shvets-4588065.jpg,A white rabbit wearing an yellow glasses.,Bunny with yellow glasses in a yellow background.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-badr-khechchab-4233098.jpg,A man with plaid shorts on is skateboarding on a half pipe.,A man skateboarding on the side of a wall with a mural of a beach scene.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-bia-sousa-4493795.jpg,The woman is wearing a red shirt and glasses and throwing red cards.,The woman in the sunglasses is throwing uno cards all over.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-clive-kim-4220967.jpg,A volcano is erupting bright red lava out the top.,A volcano at night with red glowing lava shooting out.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-cottonbro-4769486.jpg,The woman is sitting in the chair with a book on her face.,A person with a blonde bun has a book open resting on their face.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-edu-carvalho-2050975.jpg,An old woman in overhauls is holding a basket of pretty flowers.,The older wise woman was looking up at the beautiful sun as she was enjoying her day.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-eric-christian-capilador-6008360.jpg,The woman in the white shirt is standing outside pointing toward something.,The woman with the wine glass struck a pose for the camera.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-eugene-dorosh-739407.jpg,"The Eiffel Tower in Paris, France during the sun set.",The eiffel tower is standing tall.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-evgeny-tchebotarev-4101555.jpg,A very breathtaking view of a rainbow on the top of mountain.,The mountain sat under the tall rainbow.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-fauxels-3182749.jpg,A girl is giving a presentation to a group of her peers.,There is a meeting in process.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-godisable-jacob-1394882.jpg,An attractive lady in a polka dot dress is holding a black handbag.,A happy girl posing for picture.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-guillaume-meurice-2815028.jpg,There are super tall sky scrapers that look near the clouds.,The camera was looking up at the sky through the tall buildings.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-julia-khalimova-3649190.jpg,A gondola being paddled under a walking bridge.,A gondolier steers his passenger-filled boat underneath a bridge that's bordered by stone buildings in modern day Venice.
